"","g__Turicibacter","g__Parabacteroides","g__.Ruminococcus.","g__Sutterella","f__Peptostreptococcaceae_g__","g__Ruminococcus","g__Veillonella","g__Bacteroides","g__Eggerthella","g__Faecalibacterium","g__Coprococcus","f__Lachnospiraceae_g__","g__Neisseria","g__Haemophilus","g__Blautia","f__Enterobacteriaceae_g__","g__Klebsiella","g__Dorea","g__Dialister","g__Anaerostipes","g__Phascolarctobacterium","g__Staphylococcus","g__Actinomyces","f__Gemellaceae_g__","g__Akkermansia","g__Oscillospira","o__Lactobacillales_g__","g__Adlercreutzia","g__Odoribacter","f__Clostridiaceae_g__","g__Prevotella","g__Roseburia","g__Lachnospira","o__Clostridiales_g__","g__Granulicatella","f__Erysipelotrichaceae_g__","f__Ruminococcaceae_g__","g__Clostridium","g__Streptococcus","g__Aggregatibacter","g__Fusobacterium","g__Conchiformibius","g__Bifidobacterium","g__Collinsella","g__Holdemania","g__.Eubacterium.","f__Rikenellaceae_g__","g__Bilophila"
"1939.SKBTI.0175",8.53405877209337e-07,0.00312475977577494,0.0059265401797681,0.0832682834030245,7.87754565321413e-06,6.30203652257131e-05,0.00143633915743604,0.269950360292893,0.000417509919620349,0.347042647903798,0.000105033942042855,0.0420319577569995,8.53405877209337e-07,0.0431085556629388,9.7156396389641e-05,0.0986872660949156,4.46394253682134e-05,0.0157787239433879,0.0080639809003402,8.53405877209337e-07,2.62584855107138e-06,8.53405877209337e-07,3.67618797149993e-05,8.92788507364268e-05,2.88843340617852e-05,0.00460836420713027,1.31292427553569e-05,8.53405877209337e-07,8.53405877209337e-07,0.000588190075439989,1.31292427553569e-05,0.000522543861663204,3.93877282660707e-05,0.00186435247126068,8.53405877209337e-07,0.00916683729179018,0.0122023182168287,0.00130767257843355,0.000270462400760352,0.012396631009608,0.0172964644059072,0.00354226969539529,0.000546176498622847,2.62584855107138e-06,1.31292427553569e-05,0.000120789033349283,1.57550913064283e-05,0.01615159443764
"1939.SKBTI.1068",5.77382591470727e-06,0.000468013667179705,0.0559276332279748,0.000643518792372095,0.000906776480160679,0.00017550512519239,0.000292508541987316,0.36943828852998,0.000936027334359411,0.11323005660329,0.0176675159360339,0.122180817988102,1.47904758437398e-06,0.000965278188558142,0.0300698781162961,0.044461298382072,3.00765795988247e-06,0.00216456321070614,0.000117003416794926,0.000380261104583511,1.70681175441867e-06,1.47904758437398e-06,2.92508541987316e-05,8.77525625961948e-05,9.5068156555315e-06,0.00473863838019452,4.43714275312193e-06,1.2012012012012e-06,0.000146254270993658,0.000117003416794926,2.92508541987316e-05,0.000380261104583511,0.00155029527253277,0.0544065888096407,2.92508541987316e-05,0.0727468743922454,0.0436715253187063,0.00017550512519239,0.000526515375577169,2.92508541987316e-05,0.000380261104583511,2.92508541987316e-05,0.0567466571455393,1.70681175441867e-06,0.00108228160535307,0.0027788311488795,0.000234006833589853,2.92508541987316e-05
"1939.SKBTI047",3.08280248071458e-05,0.00232751587293951,0.0133639487538977,0.00217337574890378,2.95809516874795e-06,6.16560496142916e-05,0.0013101910543037,0.411708271299432,1.54140124035729e-05,0.0307663687575315,0.00109439488065368,0.0240304453371702,0.00112522290546082,0.0027899362450467,0.00357605087762892,0.45483667800463,0.00010789808682501,0.00191133753804304,7.70700620178646e-05,5.00963391136801e-06,9.24840744214375e-05,0.000863184694600083,0.000585732471335771,0.000770700620178646,0.00231210186053594,0.000554904446528625,5.00963391136801e-06,1.54140124035729e-05,1.54140124035729e-05,0.00154140124035729,0.000215796173650021,0.00257414007139668,0.000539490434125052,0.00792280237543648,0.000262038210860739,0.0172174518547909,0.00602687884979701,2.96795521583884e-06,0.00191133753804304,0.000215796173650021,0.000924840744214375,0.000693630558160781,0.00155681525276086,3.08280248071458e-05,1.54140124035729e-05,0.000631974508546489,0.0010789808682501,0.00010789808682501
"1939.SKBTI051",5.77382591470727e-06,0.0100652694997365,0.0790230733064416,0.180960696325049,0.0696002678173266,4.15049039640376e-06,0.000428309340414318,0.220151000972959,2.23807621854642e-06,0.0471140274455749,0.00235570137227875,0.0381195312968743,1.47904758437398e-06,0.0177748376271942,0.000856618680828635,0.133632514209267,3.00765795988247e-06,0.0111360428507723,7.50542700106231e-06,3.57439414019324e-06,1.70681175441867e-06,0.0289108804779664,2.44603666797122e-06,0.00406893873393602,0.000214154670207159,4.74317530046191e-06,4.43714275312193e-06,1.2012012012012e-06,2.4024024024024e-06,0.0186314563080228,4.43964810666084e-06,7.79292402498531e-06,5.77382591470727e-06,0.000642464010621476,6.32769681570826e-06,0.0845910947318277,0.0167040642761584,0.0256985604248591,0.00899449614870067,0.000214154670207159,8.27656458903673e-06,5.15500709804824e-06,5.77382591470727e-06,1.70681175441867e-06,2.96795521583884e-06,5.77382591470727e-06,8.75138002531168e-06,4.43964810666084e-06
"1939.SKBTI063",6.90622410165962e-06,0.000361232585120621,0.0601133519591905,0.000786212097027235,2.12489755953307e-05,4.15049039640376e-06,0.00930705131075483,0.448225891207905,0.00386731355835018,0.151186461360778,0.00114744468214786,0.0960241207152993,0.000424979511906613,0.0356982790001555,0.000764963121431904,0.0608783150806224,0.00031873463392996,0.00475977053335407,0.0460465301150816,2.12489755953307e-05,0.00569472545954862,0.000977452877385211,0.00101995082857587,0.00155117521845914,0.000148742829167315,0.000679967219050581,4.43714275312193e-06,1.2012012012012e-06,0.000488726438692605,3.57439414019324e-06,6.3746926785992e-05,0.000276236682739299,6.90622410165962e-06,0.0135355974542256,0.000828710048217896,0.01060323882207,0.0214827143268793,2.96795521583884e-06,0.00116869365774319,6.3746926785992e-05,0.0147892870143501,6.90622410165962e-06,0.000509975414287936,0.00312359941251361,2.96795521583884e-06,0.000828710048217896,0.00216739551072373,4.43964810666084e-06
"1939.SKBTI072",5.77382591470727e-06,0.260761521187645,0.0109719544256342,0.0757380595064463,2.95809516874795e-06,0.000315739695701704,0.00682787091954936,0.293914189236324,0.0024075151797255,0.0807109597137482,6.63908891272152e-06,0.0527679966441473,0.00157869847850852,0.000749881777291548,0.0009077516251424,0.144766650479231,3.9467461962713e-05,0.000157869847850852,3.9467461962713e-05,3.57439414019324e-06,0.000552544467477983,1.47904758437398e-06,0.000118402385888139,3.9467461962713e-05,0.000197337309813565,0.000197337309813565,4.43714275312193e-06,1.2012012012012e-06,2.4024024024024e-06,3.9467461962713e-05,0.000118402385888139,7.89349239254261e-05,3.9467461962713e-05,0.000789349239254261,0.000157869847850852,1.28275970950426e-05,0.018983849204065,2.96795521583884e-06,0.00110508893495597,0.000157869847850852,0.000315739695701704,5.15500709804824e-06,0.0135373394532106,3.9467461962713e-05,2.96795521583884e-06,0.0137741442249869,0.000197337309813565,0.0168526062580785
"1939.SKBTI.0160",5.77382591470727e-06,0.00866425102543008,0.0215539249647399,0.000682896632546213,0.00234745717437761,0.00277426756971899,0.0164748812601774,0.572864912627205,2.23807621854642e-06,0.130134489539588,0.0091337424603056,0.0708505256266696,1.47904758437398e-06,0.0271878221832461,0.0116946048323539,0.000384129355807245,3.00765795988247e-06,0.00388397459760659,0.00209137093717278,0.000554853513943798,1.70681175441867e-06,0.000213405197670692,4.26810395341383e-05,0.000298767276738968,8.53620790682767e-05,0.00268890549065071,4.26810395341383e-05,8.53620790682767e-05,8.53620790682767e-05,0.000682896632546213,0.000128043118602415,0.00162187950229726,0.000213405197670692,0.0212551576880009,8.53620790682767e-05,0.00324375900459451,0.0501929024921467,2.96795521583884e-06,0.00123775014649001,0.000426810395341383,0.0123775014649001,0.00025608623720483,0.0045668712301528,0.0031157158859921,4.26810395341383e-05,0.000170724158136553,8.75138002531168e-06,0.0155358983904264
"1939.SKBTI.0201",4.25236824200555e-06,0.0176239038440012,0.119128169635954,0.000157005824890879,0.000863532036899834,0.000876615855640741,0.00707834593883046,0.534330073559884,0.000222424918595412,0.0171136349131058,0.00688208865771686,0.144262185437236,1.47904758437398e-06,0.00588771843340796,0.0115399281294796,0.00481484529665362,1.30838187409066e-05,0.00336254141641299,1.30838187409066e-05,1.30838187409066e-05,0.0106109769988752,0.000143922006149972,3.92514562227197e-05,0.00053643656837717,4.25236824200555e-06,0.000614939480822609,4.25236824200555e-06,1.2012012012012e-06,1.30838187409066e-05,0.00142613624275882,3.92514562227197e-05,0.0153865708393061,0.00201490808609961,0.047755938404309,0.000745777668231675,0.013031483465943,0.0222424918595412,4.25236824200555e-06,0.00306161358537214,1.30838187409066e-05,0.000327095468522664,2.61676374818132e-05,4.25236824200555e-06,1.70681175441867e-06,0.000719610030749862,0.0069605915701623,7.85029124454395e-05,4.25236824200555e-06
"1939.SKBTI.0220",5.77382591470727e-06,0.00438783969689874,0.00737954858114787,0.000132964839299962,2.95809516874795e-06,6.64824196499808e-05,0.00132964839299962,0.785955165102073,0.000664824196499808,0.0894853368488742,0.00106371871439969,0.0494629202195857,1.47904758437398e-06,0.0013961308126496,0.00226040226809935,0.00226040226809935,3.00765795988247e-06,0.000531859357199847,6.64824196499808e-05,3.57439414019324e-06,0.000199447258949942,0.00558452325059839,0.000132964839299962,0.000531859357199847,6.64824196499808e-05,0.00192799016984944,4.43714275312193e-06,1.2012012012012e-06,0.000199447258949942,3.57439414019324e-06,4.43964810666084e-06,0.00079778903579977,5.77382591470727e-06,0.00179502533054948,0.000332412098249904,0.00744603100079785,0.00505266389339854,6.64824196499808e-05,0.017484876367945,6.64824196499808e-05,0.000997236294749712,6.64824196499808e-05,0.000930753875099732,1.70681175441867e-06,0.000332412098249904,0.00292522646459916,0.00405542759864883,0.00252633194669927
"1939.SKBTI.0245.b",5.77382591470727e-06,0.00220159717514436,0.0380943026365888,6.67150659134655e-05,0.0191472239171646,4.15049039640376e-06,0.00113415612052891,0.480148329379211,2.23807621854642e-06,0.000867295856875052,0.00180130677966357,0.0760551751413507,1.47904758437398e-06,0.000667150659134655,0.00226831224105783,0.313694239925115,0.00113415612052891,0.0254851551789438,0.000200145197740396,3.57439414019324e-06,0.00306889303201941,0.00126758625235584,0.000133430131826931,0.000266860263653862,7.39678638080932e-06,6.67150659134655e-05,4.43714275312193e-06,1.2012012012012e-06,0.000133430131826931,0.00547063540490417,0.000133430131826931,0.000266860263653862,0.00140101638418278,0.00153444651600971,0.00166787664783664,0.00353589849341367,0.0129427227872123,2.96795521583884e-06,0.00426976421846179,6.80471514415527e-06,0.000800580790961586,5.15500709804824e-06,5.77382591470727e-06,1.70681175441867e-06,2.96795521583884e-06,5.77382591470727e-06,8.75138002531168e-06,4.43964810666084e-06
