"","g_Prevotella","g_Faecalibacterium","g_Bacteroides","f_Lachnospiraceae_g_unclassified","g_Succinivibrio","g_Alloprevotella","f_Ruminococcaceae_g_unclassified","g_Blautia","g_Parabacteroides","g_Lachnospira","g_Anaerostipes","f_Lachnospiraceae_g_Incertae_Sedis","f_Erysipelotrichaceae_g_Incertae_Sedis","g_RC9_gut_group","g_Dorea","g_Alistipes","g_Subdoligranulum","g_Phascolarctobacterium","g_Barnesiella","k_Bacteria_g_unclassified","g_Coprococcus","g_Catenibacterium","g_Roseburia","g_Dialister","g_Clostridium_sensu_stricto_1","f_Peptostreptococcaceae_g_Incertae_Sedis","g_Ruminococcus","g_Megasphaera","g_Odoribacter","g_Mitsuokella","g_Paraprevotella","f_Ruminococcaceae_g_Incertae_Sedis","o_Bacteroidales_g_unclassified","g_Victivallis","g_Sutterella","g_Bifidobacterium","f_Rikenellaceae_g_unclassified","g_Escherichia.Shigella","f_vadinBB60_g_unclassified","g_Anaerovibrio","g_Elusimicrobium","g_Streptococcus","g_Anaerotruncus","g_Desulfovibrio","g_Oribacterium","f_Christensenellaceae_g_unclassified","g_Intestinimonas","g_Brachyspira","g_Thalassospira","f_Erysipelotrichaceae_g_unclassified","g_Anaeroplasma","f_Defluviitaleaceae_g_Incertae_Sedis","c_Alphaproteobacteria_g_unclassified","g_Butyricimonas","f_Porphyromonadaceae_g_unclassified","g_Acidaminococcus","g_Collinsella","g_Solobacterium","o_Clostridiales_g_unclassified","o_NB1.n_g_unclassified"
"Sample_001",0.0113320715859928,0.0498611149783682,0.281359148806506,0.0558509242452501,5.26742301458671e-05,0.000323773473885508,0.12287203333955,0.0286539524388674,0.0202358421178442,0.00971320421656523,0.00615169600382464,0.0223403696981,5.26742301458671e-05,5.26742301458671e-05,0.0215309360133863,0.0399860240248602,0.0134365991662486,5.26742301458671e-05,0.0956750615331675,0.00113320715859928,0.0163505604312181,5.26742301458671e-05,0.00501848884522537,5.26742301458671e-05,0.000323773473885508,5.26742301458671e-05,0.114453923018527,5.26742301458671e-05,0.00550414905605363,5.26742301458671e-05,0.0152173532726189,0.0294633861235812,5.26742301458671e-05,5.26742301458671e-05,0.00647546947771015,0.00259018779108406,5.26742301458671e-05,0.000161886736942754,0.000161886736942754,5.26742301458671e-05,5.26742301458671e-05,5.26742301458671e-05,5.26742301458671e-05,0.00339962147579783,5.26742301458671e-05,0.00113320715859928,0.000161886736942754,5.26742301458671e-05,0.00161886736942754,0.000647546947771015,5.26742301458671e-05,0.000971320421656523,5.26742301458671e-05,0.00242830105414131,0.00938943074267972,5.26742301458671e-05,0.000809433684713769,5.26742301458671e-05,0.00178075410637029,0.000323773473885508
"Sample_002",0.168451069669784,0.0572790069396418,0.273556636591048,0.0287805847677018,0.250419303738582,4.59104393275886e-05,0.038797356917245,0.0152367801711362,0.0162243492563025,0.00423243893642673,0.00550217061735475,0.00874704046861524,0.00380919504278406,4.59104393275886e-05,0.000987569085166237,0.00211621946821337,0.0015518942766898,4.59104393275886e-05,0.0031037885533796,4.59104393275886e-05,0.00183405687245158,0.000141081297880891,0.000282162595761782,4.59104393275886e-05,4.59104393275886e-05,0.000564325191523564,0.00268054465973693,4.59104393275886e-05,0.00691298359616366,4.59104393275886e-05,0.0234194954482279,0.0675779416849468,4.59104393275886e-05,4.59104393275886e-05,0.0094524469580197,0.000705406489404455,4.59104393275886e-05,0.000141081297880891,4.59104393275886e-05,4.59104393275886e-05,4.59104393275886e-05,4.59104393275886e-05,4.59104393275886e-05,4.59104393275886e-05,4.59104393275886e-05,4.59104393275886e-05,4.59104393275886e-05,4.59104393275886e-05,4.59104393275886e-05,0.000423243893642673,4.59104393275886e-05,0.000141081297880891,4.59104393275886e-05,0.00126973168092802,4.59104393275886e-05,0.00423243893642673,0.000141081297880891,4.59104393275886e-05,4.59104393275886e-05,4.59104393275886e-05
"Sample_003",0.331643725665383,0.0805795168246734,0.181996051562418,0.0724195657538204,4.74175663845929e-05,4.74175663845929e-05,0.0177770362615012,0.0317655238115349,0.0250627068604771,0.0120942131943,0.0110742193104434,0.0271026946281903,4.74175663845929e-05,4.74175663845929e-05,0.00917994495470963,0.0396340480584289,0.00786852424689397,4.74175663845929e-05,0.0253541336844361,4.74175663845929e-05,0.00641139012709879,4.74175663845929e-05,0.00451711577136506,4.74175663845929e-05,0.000582853647918072,0.00101999388385663,0.020545591089112,4.74175663845929e-05,0.00917994495470963,4.74175663845929e-05,4.74175663845929e-05,0.0183598899094193,0.0342426518151867,4.74175663845929e-05,0.0198170240292144,0.00072856705989759,4.74175663845929e-05,4.74175663845929e-05,4.74175663845929e-05,4.74175663845929e-05,4.74175663845929e-05,0.000874280471877108,4.74175663845929e-05,0.00393426212344698,4.74175663845929e-05,0.000582853647918072,0.000145713411979518,4.74175663845929e-05,4.74175663845929e-05,0.00218570117969277,4.74175663845929e-05,0.000145713411979518,4.74175663845929e-05,0.000291426823959036,4.74175663845929e-05,4.74175663845929e-05,0.00145713411979518,4.74175663845929e-05,0.000145713411979518,4.74175663845929e-05
"Sample_009",0.00498600275233273,0.0936260516826923,0.403681556170346,0.0271460149849226,6.00961538461538e-05,6.00961538461538e-05,0.11043072762574,0.00997200550466545,0.0321320177372553,0.0321320177372553,0.00683267043838188,0.0206826780837506,0.0116340064221097,6.00961538461538e-05,0.00867933812443104,0.074605374516386,0.00664800366977697,6.00961538461538e-05,0.0446893580023896,6.00961538461538e-05,0.00794067105001138,0.00221600122325899,0.00627867013256714,6.00961538461538e-05,0.00277000152907374,0.00849467135582613,0.0271460149849226,6.00961538461538e-05,0.0105260058104802,0.000738667074419663,6.00961538461538e-05,0.00221600122325899,6.00961538461538e-05,0.000369333537209832,0.0116340064221097,0.000554000305814747,6.00961538461538e-05,0.00517066952093764,6.00961538461538e-05,0.000184666768604916,6.00961538461538e-05,0.00277000152907374,0.0118186731907146,0.00313933506628357,6.00961538461538e-05,0.00203133445465407,6.00961538461538e-05,0.000184666768604916,6.00961538461538e-05,0.000554000305814747,6.00961538461538e-05,0.00129266738023441,6.00961538461538e-05,0.00221600122325899,6.00961538461538e-05,6.00961538461538e-05,0.000554000305814747,6.00961538461538e-05,6.00961538461538e-05,6.00961538461538e-05
"Sample_010",0.000296193115793213,0.0404303603057736,0.812013426947094,0.00651624854745069,4.82267398723846e-05,4.82267398723846e-05,0.00207335181055249,0.0174753938317996,0.0620524577586782,4.82267398723846e-05,0.00236954492634571,0.00696053822114051,4.82267398723846e-05,4.82267398723846e-05,0.0309521806003908,0.000296193115793213,4.82267398723846e-05,4.82267398723846e-05,0.000148096557896607,4.82267398723846e-05,4.82267398723846e-05,4.82267398723846e-05,0.00044428967368982,4.82267398723846e-05,4.82267398723846e-05,4.82267398723846e-05,0.00399860706320838,4.82267398723846e-05,0.00103667590527625,4.82267398723846e-05,4.82267398723846e-05,4.82267398723846e-05,4.82267398723846e-05,0.000148096557896607,4.82267398723846e-05,0.0100705659369693,4.82267398723846e-05,0.000148096557896607,4.82267398723846e-05,4.82267398723846e-05,4.82267398723846e-05,0.000592386231586427,4.82267398723846e-05,4.82267398723846e-05,4.82267398723846e-05,4.82267398723846e-05,4.82267398723846e-05,4.82267398723846e-05,4.82267398723846e-05,4.82267398723846e-05,4.82267398723846e-05,4.82267398723846e-05,4.82267398723846e-05,4.82267398723846e-05,4.82267398723846e-05,4.82267398723846e-05,4.82267398723846e-05,4.82267398723846e-05,4.82267398723846e-05,4.82267398723846e-05
"Sample_011",0.143834867201898,0.0353036682681553,0.508455566033939,0.0663322829569636,0.000137904954172481,4.48957038264954e-05,0.00606781798358918,0.025788226430254,0.102601285904326,0.000137904954172481,0.00179276440424226,0.00551619816689926,4.48957038264954e-05,4.48957038264954e-05,0.000551619816689926,0.0780542040616245,4.48957038264954e-05,0.000137904954172481,4.48957038264954e-05,4.48957038264954e-05,4.48957038264954e-05,0.00441295853351941,4.48957038264954e-05,4.48957038264954e-05,4.48957038264954e-05,0.000137904954172481,0.00289600403762211,4.48957038264954e-05,0.0137904954172481,4.48957038264954e-05,4.48957038264954e-05,4.48957038264954e-05,4.48957038264954e-05,4.48957038264954e-05,0.000137904954172481,4.48957038264954e-05,4.48957038264954e-05,0.00137904954172481,4.48957038264954e-05,4.48957038264954e-05,4.48957038264954e-05,0.000413714862517444,4.48957038264954e-05,4.48957038264954e-05,4.48957038264954e-05,4.48957038264954e-05,4.48957038264954e-05,4.48957038264954e-05,4.48957038264954e-05,4.48957038264954e-05,4.48957038264954e-05,4.48957038264954e-05,4.48957038264954e-05,4.48957038264954e-05,4.48957038264954e-05,4.48957038264954e-05,0.000413714862517444,4.48957038264954e-05,4.48957038264954e-05,4.48957038264954e-05
"Sample_013",0.000399178392431272,0.085557235444436,0.377223580847552,0.151421670195596,0.000133059464143757,4.32986943778311e-05,0.00199589196215636,0.0616065318985597,0.032333449786933,0.0143704221275258,0.0118422923087944,0.0348615796056644,0.0150357194482446,4.32986943778311e-05,0.00771744892033793,0.000266118928287515,0.00319342713945018,4.32986943778311e-05,0.00133059464143757,4.32986943778311e-05,0.00266118928287515,4.32986943778311e-05,0.00851580570520047,4.32986943778311e-05,0.00199589196215636,0.0349946390698082,0.0271441306853265,4.32986943778311e-05,0.000266118928287515,4.32986943778311e-05,0.00558849749403781,4.32986943778311e-05,4.32986943778311e-05,4.32986943778311e-05,0.0840935813388547,0.00958028141835053,4.32986943778311e-05,4.32986943778311e-05,4.32986943778311e-05,4.32986943778311e-05,4.32986943778311e-05,0.00319342713945018,4.32986943778311e-05,0.000133059464143757,4.32986943778311e-05,4.32986943778311e-05,4.32986943778311e-05,4.32986943778311e-05,4.32986943778311e-05,0.0143704221275258,4.32986943778311e-05,0.000133059464143757,4.32986943778311e-05,4.32986943778311e-05,4.32986943778311e-05,0.00172977303386885,0.00505625963746278,4.32986943778311e-05,4.32986943778311e-05,4.32986943778311e-05
"Sample_014",4.90862407491316e-05,0.0248913485102905,0.414403238531927,0.0586832398212303,0.000301713315276249,4.90862407491316e-05,0.0381667343824454,0.0104091093770306,0.0295679048970724,0.00588340964788685,0.00150856657638124,0.00950396943120183,4.90862407491316e-05,4.90862407491316e-05,0.00135770991874312,0.132150432090997,0.0101073960617543,0.0061851229631631,0.0855357248808165,4.90862407491316e-05,0.00105599660346687,0.00286627649512436,0.0128228158992406,4.90862407491316e-05,0.00286627649512436,0.00663769293607747,0.0164433756825555,0.0262490584290336,0.0140296691603456,0.0102582527193925,4.90862407491316e-05,0.000603426630552497,4.90862407491316e-05,4.90862407491316e-05,0.0099565394041162,0.0137279558450693,4.90862407491316e-05,0.000754283288190621,4.90862407491316e-05,4.90862407491316e-05,4.90862407491316e-05,0.000301713315276249,4.90862407491316e-05,0.00165942323401937,4.90862407491316e-05,4.90862407491316e-05,0.000150856657638124,4.90862407491316e-05,0.035149601229683,0.000150856657638124,4.90862407491316e-05,4.90862407491316e-05,4.90862407491316e-05,0.00286627649512436,4.90862407491316e-05,0.0093531127735637,0.00226284986457186,4.90862407491316e-05,4.90862407491316e-05,4.90862407491316e-05
"Sample_015",0.129715357217267,0.0718775685286268,0.303076116980579,0.0544804500312522,4.96562261268144e-05,4.96562261268144e-05,0.0453240718747392,0.0337259928764894,0.0598216706225514,0.00900377185390442,0.00564643319651633,0.03998285128344,0.0132767483269438,0.000152606302608549,0.0163288743791148,0.0329629613634467,0.0253326462330192,4.96562261268144e-05,4.96562261268144e-05,4.96562261268144e-05,0.00625685840695053,4.96562261268144e-05,0.000610425210434198,4.96562261268144e-05,0.000305212605217099,0.00579903949912488,0.00976680336694717,0.0387620008625716,0.0172445121947661,0.00274691344695389,4.96562261268144e-05,0.00198388193391114,4.96562261268144e-05,4.96562261268144e-05,0.0460871033877819,0.0123611105112925,4.96562261268144e-05,0.000152606302608549,0.000152606302608549,4.96562261268144e-05,4.96562261268144e-05,0.0012208504208684,4.96562261268144e-05,0.00503600798608213,4.96562261268144e-05,0.000457818907825648,4.96562261268144e-05,4.96562261268144e-05,4.96562261268144e-05,0.000915637815651297,4.96562261268144e-05,0.000610425210434198,4.96562261268144e-05,0.00381515756521374,4.96562261268144e-05,4.96562261268144e-05,0.00366255126260519,4.96562261268144e-05,0.000152606302608549,4.96562261268144e-05
"Sample_016",0.000847285587736226,0.101533056263724,0.548193775265338,0.0761144886316376,0.000141214264622704,0.000141214264622704,0.00197699970471786,0.0457534217377562,0.0121444267575526,0.121726696104771,0.0297962098353906,0.0278192101306727,4.59558823529412e-05,0.000141214264622704,0.0064958561726444,0.00522492779104006,0.00155335691084975,0.000141214264622704,0.00296549955707679,4.59558823529412e-05,0.00112971411698163,0.000141214264622704,0.00466007073254924,4.59558823529412e-05,0.000282428529245409,0.000141214264622704,0.00098849985235893,4.59558823529412e-05,0.00197699970471786,4.59558823529412e-05,4.59558823529412e-05,0.000141214264622704,4.59558823529412e-05,4.59558823529412e-05,4.59558823529412e-05,0.00423642793868113,4.59558823529412e-05,4.59558823529412e-05,4.59558823529412e-05,4.59558823529412e-05,4.59558823529412e-05,0.000141214264622704,4.59558823529412e-05,4.59558823529412e-05,4.59558823529412e-05,4.59558823529412e-05,4.59558823529412e-05,4.59558823529412e-05,4.59558823529412e-05,0.00141214264622704,4.59558823529412e-05,0.000564857058490817,4.59558823529412e-05,4.59558823529412e-05,4.59558823529412e-05,4.59558823529412e-05,4.59558823529412e-05,4.59558823529412e-05,0.000141214264622704,4.59558823529412e-05
