,Var
SRS043574.573665,0
SRS047607.570634,0
SRS042427.572472,0
SRS054065.574892,0
SRS042643.572446,0
SRS015021.575294,0
SRS065558.571208,0
SRS064558.571471,0
SRS017121.572223,0
SRS022858.574406,1
SRS045466.572805,0
SRS021790.576317,1
SRS015389.573465,1
SRS011410.570454,1
SRS011410.572647,1
SRS042427.572607,0
SRS014978.570429,1
SRS045258.575468,0
SRS019990.576063,1
SRS015782.570244,1
SRS042643.570444,0
SRS011484.573286,0
SRS015117.575489,0
SRS020245.571429,0
SRS018591.571033,0
SRS011484.573684,0
SRS015966.575347,0
SRS014952.574697,0
SRS016455.570417,0
SRS014271.575150,0
SRS056834.574669,0
SRS011359.571824,0
SRS015518.572205,1
SRS016056.575793,1
SRS057447.570806,1
SRS011506.574471,0
SRS020002.571992,0
SRS014807.576613,0
SRS015560.573030,0
SRS058416.575342,1
SRS018427.573990,1
SRS022171.575220,0
SRS045258.573112,0
SRS016154.574552,0
SRS020362.571505,0
SRS013555.570652,0
SRS044879.573265,0
SRS014861.575659,0
SRS020811.575527,1
SRS018427.575694,1
SRS023377.570808,0
SRS016412.570898,0
SRS015514.575400,0
SRS020425.570360,0
SRS013502.576044,0
SRS016319.574268,0
SRS052245.576072,0
SRS011409.570636,0
SRS013234.574132,0
SRS014651.575961,0
SRS011275.573242,0
SRS018068.575993,1
SRS050733.571338,1
SRS013386.571770,1
SRS018133.570446,1
SRS013386.571797,1
SRS020596.574323,0
SRS014923.575333,1
SRS016630.575910,1
SRS020983.570993,1
SRS014651.571263,0
SRS014885.571435,1
SRS020527.573698,1
SRS021676.570623,0
SRS015297.571957,0
SRS015133.575616,1
SRS014952.571139,0
SRS015708.571368,0
SRS019247.572766,0
SRS016117.574667,0
SRS015231.574902,0
SRS022366.572467,0
SRS018739.573662,0
SRS018262.572302,0
SRS018145.574360,0
SRS011456.574679,0
SRS055574.573652,0
SRS043642.571428,0
SRS011271.570242,1
SRS011533.573177,0
SRS018501.572901,0
SRS018088.572325,0
SRS053775.573943,0
SRS011161.575030,0
SRS042698.573231,0
SRS042698.570287,0
SRS014593.576089,0
SRS020539.573820,0
SRS018382.571321,0
SRS013819.572141,0
SRS011157.572834,1
SRS013460.574437,0
SRS011419.574749,0
SRS011653.575556,1
SRS020413.572892,1
SRS018313.575129,1
SRS046022.575542,0
SRS019111.571026,0
SRS017653.573355,0
SRS014369.575805,1
SRS016343.572924,0
SRS022291.574760,1
SRS023671.575037,1
SRS018439.574283,0
SRS011161.572681,0
SRS016712.570618,0
SRS018325.573321,0
SRS020881.574433,0
SRS014659.575591,1
SRS014659.570377,1
SRS014426.574632,0
SRS011456.573478,0
SRS050936.572700,0
SRS011657.572585,0
SRS011409.576237,0
SRS042387.574196,1
SRS042533.574284,0
SRS020350.575544,1
SRS015917.572958,0
SRS016225.576071,0
SRS016954.573937,1
SRS017076.573631,0
SRS044415.571480,1
SRS013543.571468,1
SRS016269.574333,0
SRS015174.572189,0
SRS017833.570261,0
SRS018009.574801,0
SRS019111.574286,0
SRS011624.570298,0
SRS042606.574212,0
SRS016859.574658,0
SRS013189.570565,0
SRS017406.576443,0
SRS011506.573339,0
SRS017776.575976,0
SRS015452.570749,1
SRS011586.574634,1
SRS017191.571061,1
SRS020755.570974,1
SRS020584.572609,1
SRS011589.573188,0
SRS020767.575668,0
SRS017406.573641,0
SRS015663.574452,1
SRS011415.570700,1
SRS018370.571565,1
SRS020823.571171,0
SRS020290.576064,1
SRS021724.575151,1
SRS022237.575094,0
SRS021736.574188,0
SRS022558.575557,0
SRS011657.575693,0
SRS014287.574014,1
SRS020302.570373,0
SRS016529.574547,0
SRS055482.574421,1
SRS018202.570737,0
SRS011452.573598,1
SRS014287.575983,1
SRS013638.573699,1
SRS011653.571620,1
SRS011415.570853,1
SRS015332.574075,1
SRS049823.574392,1
SRS021853.576597,1
SRS015724.576129,1
SRS062575.576133,0
SRS015452.575102,1
SRS017209.573818,0
SRS020484.570285,0
SRS020710.574195,0
SRS013460.571482,0
SRS011624.572147,0
SRS017008.570236,0
SRS014907.575710,0
SRS057759.574185,0
SRS017278.575724,0
SRS053335.574838,1
SRS011271.575925,1
SRS011300.575427,1
SRS020233.571448,1
SRS017653.574835,0
SRS017713.573132,0
SRS015917.575485,0
SRS022810.573727,0
SRS016060.573600,0
SRS017121.573466,0
SRS053335.576563,1
SRS015247.573888,1
SRS049959.573354,1
SRS015669.574144,0
SRS022546.571178,1
SRS013819.575758,0
SRS021376.571403,0
SRS022870.570343,0
SRS021253.576343,0
SRS021802.575672,0
SRS016596.570626,0
SRS015762.574848,0
SRS054440.573155,0
SRS011452.570650,1
SRS017890.571149,0
SRS018791.572397,0
SRS018791.571847,0
SRS020245.571903,0
SRS013705.571069,0
SRS020302.574375,0
SRS011275.570357,0
SRS051657.571954,0
SRS015354.571119,0
