,Var
SRS054669.573720,0
SRS015722.570410,0
SRS013837.571779,1
SRS053278.575420,1
SRS020014.574061,1
SRS020553.572405,0
SRS011371.574056,1
SRS016364.575956,0
SRS043032.573038,0
SRS017725.576192,1
SRS014821.572725,0
SRS011638.572652,0
SRS013786.575970,1
SRS017088.576058,1
SRS016610.573712,0
SRS017904.574100,0
SRS016543.575570,0
SRS046986.573257,1
SRS045460.575845,0
SRS047410.570559,1
SRS047983.574373,1
SRS018805.575518,0
SRS056498.573585,0
SRS019261.575994,0
SRS013723.571314,1
SRS011494.570516,1
SRS054669.576548,0
SRS014424.571335,0
SRS050617.570719,0
SRS011433.572687,0
SRS056396.572402,0
SRS042619.572853,1
SRS053216.574154,0
SRS015245.571086,0
SRS052681.576308,0
SRS016877.574244,1
SRS056498.576617,0
SRS050838.575500,1
SRS011547.571079,0
SRS044978.572198,1
SRS015788.572137,0
SRS014921.574818,0
SRS018451.572625,1
SRS018805.575908,0
SRS015929.576320,1
SRS047667.571535,1
SRS042093.570661,1
SRS011175.571936,0
SRS062618.574788,0
SRS018753.573039,0
SRS047180.574885,0
SRS047158.571965,0
SRS049622.575233,0
SRS022378.575067,1
SRS048383.571236,1
SRS015472.574486,0
SRS016608.575706,1
SRS045467.575114,1
SRS053216.576268,0
SRS022570.572451,1
SRS023817.571571,0
SRS051359.572968,1
SRS018276.575519,0
SRS015131.570593,0
SRS015129.572408,1
SRS021089.574085,1
SRS021265.573644,1
SRS013837.576040,1
SRS021879.572689,0
SRS017420.571170,0
SRS013255.573658,0
SRS022057.572564,1
SRS015980.575310,0
SRS011470.571192,0
SRS050114.574411,0
SRS011547.572005,0
SRS052423.575301,1
SRS013567.571829,1
SRS046986.571002,1
SRS050493.572276,0
SRS014605.570615,0
SRS018803.574381,1
SRS016473.571188,1
SRS018021.573748,1
SRS015931.573834,0
SRS020835.574869,1
SRS064707.573364,0
SRS052682.574873,0
SRS013788.573987,0
SRS058104.575979,1
SRS057069.574886,0
SRS062886.576447,0
SRS014677.573693,0
SRS020551.575598,1
SRS044272.576047,1
SRS020667.576084,0
SRS018751.572813,1
SRS014367.571815,0
SRS011571.574263,0
SRS016016.574241,0
SRS015929.574684,1
SRS015243.571722,1
SRS017139.575029,1
SRS020257.576263,1
SRS013516.575410,0
SRS016361.572905,1
SRS064733.572993,0
SRS018394.575064,1
SRS011571.572516,0
SRS013474.572674,0
SRS015931.574854,0
SRS016166.571670,1
SRS022251.576574,0
SRS016072.571665,1
SRS050262.571199,0
SRS020551.574425,1
SRS044435.570999,0
SRS014873.573554,1
SRS011494.576024,1
SRS015635.572741,0
SRS016666.573942,1
SRS018159.571532,0
SRS014964.575223,1
SRS016333.573787,0
SRS022824.575995,0
SRS020781.572164,0
SRS055531.574721,1
SRS015683.574418,0
SRS014919.573086,1
SRS011468.575985,1
SRS021007.572471,1
SRS049521.575189,0
SRS056493.570588,0
SRS020259.573359,0
SRS050838.573215,1
SRS018216.570352,0
SRS014819.576439,1
SRS017479.570524,1
SRS053128.574849,1
SRS020376.574690,0
SRS011518.571823,1
SRS057046.575268,0
SRS020437.572627,1
SRS020257.573938,1
SRS017304.574040,1
SRS017847.570423,0
SRS014424.572379,0
SRS018102.573433,0
SRS014675.570277,1
SRS014675.572296,1
SRS018100.575134,1
SRS021135.576300,0
SRS063628.574358,0
SRS016724.572543,1
SRS042091.576167,1
SRS021877.570526,1
SRS016726.570487,0
SRS016476.574490,0
SRS022315.574769,1
SRS014365.575658,1
SRS049648.573969,0
SRS017026.573207,1
SRS011373.575725,0
SRS016281.573855,1
SRS014677.575520,0
SRS064340.570473,1
SRS020014.571153,1
SRS050958.571380,0
SRS017029.575283,0
SRS017227.576007,1
SRS015470.576552,1
SRS016074.571617,0
SRS017304.575372,1
SRS014603.575337,1
SRS015470.575238,1
SRS014422.572315,1
SRS011371.572800,1
SRS018274.571175,1
SRS018100.575514,1
SRS016426.576079,0
SRS011520.572939,0
SRS014875.570612,0
SRS018102.573993,0
SRS011545.573108,1
SRS017290.575216,1
SRS021133.571858,1
SRS016239.574748,0
SRS015530.575140,0
SRS021267.571135,0
SRS020779.571577,1
SRS023389.573502,1
SRS022695.573264,0
SRS016779.576334,0
SRS042093.570415,1
SRS014964.574617,1
SRS045364.572008,0
SRS064478.571293,1
SRS021690.571459,0
SRS022572.576355,0
SRS047667.575300,1
SRS020374.574665,1
SRS018453.576618,0
SRS017727.572667,0
SRS017790.572183,0
SRS016669.571504,0
SRS050155.571440,1
SRS063819.575971,1
SRS016877.571309,1
SRS021750.570367,0
